"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"3339","<U+3010><U+30AB><U+30C6><U+30AD><U+30F3><U+304C><U+6709><U+52B9><U+3011><U+9752><U+6C41><U+306E><U+52B9><U+679C><U+3067><U+30A4><U+30F3><U+30D5><U+30EB><U+30A8><U+30F3><U+30B6><U+3092><U+4E88><U+9632><U+3067><U+304D><U+308B><U+FF1F> https://t.co/1vK9kNTuub #<U+7F8E><U+5BB9> #<U+7F8E><U+5BB9><U+57A2> #<U+30C0><U+30A4><U+30A8><U+30C3><U+30C8> #<U+30C0><U+30A4><U+30A8><U+30C3><U+30C8><U+57A2>",FALSE,0,NA,2018-02-27 07:08:04,FALSE,NA,"968382207516663814",NA,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","AojiruMatome_ch",0,FALSE,FALSE,NA,NA
"3340","Burian e influenza affolleranno gli studi medici https://t.co/ocSwfSGRyN",FALSE,0,NA,2018-02-27 07:07:23,FALSE,NA,"968382036472991744",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Sicinform",0,FALSE,FALSE,NA,NA
"3341","Comunque io e Ugo <ed><U+00A0><U+00BD><ed><U+00B0><U+00A6> stiamo facendo colazione come due gran signori. Restare a casa per l'influenza è un privilegio",FALSE,4,NA,2018-02-27 07:06:15,FALSE,NA,"968381747942522882",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lascherillo",0,FALSE,FALSE,NA,NA
"3342","<U+26A0><U+FE0F> La presentazione di #PILATES prevista per oggi alle ore 20:00 è rinviata a martedì 6 marzo, causa influenza dell… https://t.co/gO3yML7d5Q",FALSE,2,NA,2018-02-27 07:05:14,TRUE,NA,"968381492190679041",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bloommezzago",1,FALSE,FALSE,NA,NA
"3343","@An0n_American And the Centers for DISEASE Control can't study guns!!!! People dying of Influenza, vaccine only 50%… https://t.co/MZEVKFkp2B",FALSE,3,"An0n_American",2018-02-27 07:03:51,TRUE,"968360878033854465","968381147586625536","484229824","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lubnel",2,FALSE,FALSE,NA,NA
"3344","Influenza udskyder planlagte operationer på Sydvestjysk Sygehus Esbjerg: Influenzaepidemien har nu også ramt Esbjer… https://t.co/8uaqkdg5N4",FALSE,0,NA,2018-02-27 07:02:18,TRUE,NA,"968380756363014144",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","BillundPortal",0,FALSE,FALSE,NA,NA
"3345","Llevo años esperando la visita de Cornelius a la CDMX. 
Hace varios años cancelaron el show que tenían programado a… https://t.co/E8efzmioeJ",FALSE,66,NA,2018-02-27 07:01:46,TRUE,NA,"968380620677222400",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","charavo",4,FALSE,FALSE,NA,NA
"3346","Little Ace will be better protected from influenza come April, thanks to the ACT Govt’s free vaccine program. Worth… https://t.co/tSReIsVkrE",FALSE,0,NA,2018-02-27 07:00:31,TRUE,NA,"968380307014606848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EmGrovesy",0,FALSE,FALSE,NA,NA
"3347","The Roboenza is a portmanteau of ""robot"" and ""Influenza"".",FALSE,0,NA,2018-02-27 07:00:24,FALSE,NA,"968380275909693441",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","MMKB_bot",0,FALSE,FALSE,NA,NA
"3348","#QueNoSeTePase -- Van 86 Casos Positivos de Influenza en Zacatecas https://t.co/ulHm4D9qxc https://t.co/rFkVbL98xE",FALSE,0,NA,2018-02-27 07:00:10,FALSE,NA,"968380220385394688",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","CVNZACATECAS",0,FALSE,FALSE,NA,NA
"3349","At Mothers against influenza #MomVsFlu event at @stregismumbai
#pregnancy #pregnant #newborn #mommy #motherhood… https://t.co/JTFIriGakX",FALSE,9,NA,2018-02-27 06:59:46,TRUE,NA,"968380116782014465",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","makeupreviewblg",1,FALSE,FALSE,NA,NA
"3350","At Mothers against influenza #MomVsFlu event at @stregismumbai
#pregnancy #pregnant #newborn… https://t.co/iKcetdxbXg",FALSE,1,NA,2018-02-27 06:59:09,FALSE,NA,"968379962863636482",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","makeupreviewblg",0,FALSE,FALSE,"72.8251","18.9935"
"3351","@ConsoleWarsGuys Perhaps you could both do this episode in bed! When life gives you influenza, make influenzade!",FALSE,1,"ConsoleWarsGuys",2018-02-27 06:57:26,FALSE,"967581165455593472","968379533199118341","2359805917","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","j_dutts",0,FALSE,FALSE,NA,NA
"3352","@forza1993inter @Inter Infatti Mou ha litigato con Pogba proprio per questo,Raiola ha una pessima influenza sui giocatori da lui assistiti",FALSE,1,"forza1993inter",2018-02-27 06:53:34,FALSE,"968278499881619458","968378556530200581","1663165376","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>","letiziapierett2",0,FALSE,FALSE,NA,NA
"3353","Den eneste dage på ugen, hvor jeg har vigtige planer, lægger jeg mig syg med influenza. <ed><U+00A0><U+00BD><ed><U+00B9><U+0084>",FALSE,2,NA,2018-02-27 06:52:03,FALSE,NA,"968378178254368768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SimoneMN",0,FALSE,FALSE,NA,NA
"3354","At Mothers against influenza #MomVsFlu event at @stregismumbai
#pregnancy #pregnant #newborn #mommy #motherhood… https://t.co/drQxXyfbnW",FALSE,1,NA,2018-02-27 06:50:33,TRUE,NA,"968377796912349189",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","makeupreviewblg",1,FALSE,FALSE,"72.8234501","18.9943759"
"3355","Dieta post influenza: pasti leggeri e digeribili (https://t.co/1NG9gqROpV) https://t.co/SRZIEfTNcQ https://t.co/8psAAi1nua",FALSE,0,NA,2018-02-27 06:48:55,FALSE,NA,"968377388580114432",NA,"<a href=""http://www.informazione.it"" rel=""nofollow"">Tweet Informazione</a>","infoitsalute",0,FALSE,FALSE,NA,NA
"3356","At Mothers against influenza #momvsflu event at @stregismumbai
#pregnancy #pregnant #newborn… https://t.co/RxZoVIC0tY",FALSE,0,NA,2018-02-27 06:46:07,FALSE,NA,"968376681479196672",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","makeupreviewblg",0,FALSE,FALSE,"72.8251","18.9935"
