"","lon","lat"
"1337",-118.1445155,34.1477849
"1338",-83.9207392,35.9606384
"1339",-95.712891,37.09024
"1340",174.776236,-41.2864603
"1341",NA,NA
"1342",5.2198688,52.336086
"1343",-117.8869261,33.8829226
"1344",-93.2922989,37.2089572
"1345",-43.1728965,-22.9068467
"1346",-0.370679,49.182863
"1347",-54.614979,-25.4867521
"1348",-44.1438103,-22.5624606
"1349",NA,NA
"1350",-84.3879824,33.7489954
"1351",21.824312,39.074208
"1352",-73.2036898,42.7120196
"1353",NA,NA
"1354",-2.1639879,53.8694562
"1355",NA,NA
"1356",NA,NA
"1357",-105.0732844,33.3403963
"1358",-75.9179738,42.0986867
"1359",-121.805789,38.0049214
"1360",-121.8863286,37.3382082
"1361",-43.1728965,-22.9068467
"1362",-90.8756796,39.6256979
"1363",-91.5301683,41.6611277
"1364",-73.9441579,40.6781784
"1365",-86.5804473,35.5174913
"1366",-87.6297982,41.8781136
"1367",-121.8863286,37.3382082
"1368",7.5407494,44.9334927
"1369",12.354722,7.369722
"1370",NA,NA
"1371",-3.435973,55.378051
"1372",22.937506,-30.559482
"1373",NA,NA
"1374",-78.6568942,37.4315734
"1375",-122.6764815,45.5230622
"1376",-49.5894682,-28.0071174
"1377",-49.5894682,-28.0071174
"1378",NA,NA
"1379",-75.1652215,39.9525839
"1380",NA,NA
"1381",-7.3085748,54.9966124
"1382",NA,NA
"1383",-0.1277583,51.5073509
"1384",NA,NA
"1385",-1.890401,52.486243
"1386",-96.2640711,33.07523
"1387",NA,NA
"1388",-111.0937311,34.0489281
"1389",-116.4944203,33.8213385
"1390",4.8951679,52.3702157
"1391",-79.0192997,35.7595731
"1392",-117.1610838,32.715738
"1393",-75.977985,36.8529263
"1394",30.0542331,51.4045032
"1395",-43.2155524,-22.8792069
"1396",37.6172999,55.755826
"1397",NA,NA
"1398",-43.363268,-22.8668265
"1399",100.992541,15.870032
"1400",-118.2436849,34.0522342
"1401",NA,NA
"1402",23.3218675,42.6977082
"1403",NA,NA
"1404",-43.3996264,-22.7645391
"1405",-113.4909267,53.544389
"1406",-1.61778,54.978252
"1407",-113.996586,46.8787176
"1408",-6.2603097,53.3498053
"1409",-104.6188943,50.4452112
"1410",0.121817,52.205337
"1411",-43.1728965,-22.9068467
"1412",-77.0340315,38.9031004
"1413",25.7481511,61.92411
"1414",29.9971769,-27.7138429
"1415",NA,NA
"1416",-84.6366201,39.7439405
"1417",-43.1728965,-22.9068467
"1418",-75.977985,36.8529263
"1419",-8.4863157,51.8968917
"1420",NA,NA
"1421",-118.2436849,34.0522342
"1422",-84.3879824,33.7489954
